Argentina,ARG,0.52,0.28,6.00,66.85,57.61,78.26,0.52,0.27,6.00,66.85,54.35,78.80,0.18,0.23,6.00,59.24,41.30,68.48,-0.88,0.21,7.00,20.54,10.81,33.51,-0.69,0.18,7.00,24.86,17.84,40.54,-0.70,0.19,8.00,24.38,16.92,39.30,-0.53,0.16,8.00,32.35,23.04,47.55,-0.61,0.19,9.00,28.43,19.12,43.63,-0.64,0.20,9.00,26.21,17.96,43.69,-0.70,0.20,8.00,24.76,16.99,41.75,-0.83,0.19,9.00,22.49,12.44,32.54,-0.74,0.19,9.00,26.32,15.31,35.89,-0.70,0.18,10.00,26.54,18.01,35.55,-0.90,0.19,10.00,21.80,9.95,30.33,-0.93,0.19,10.00,19.91,9.48,28.91,-1.07,0.20,10.00,14.42,6.25,25.96,-0.90,0.19,10.00,19.52,9.52,30.00,-0.35,0.20,10.00,40.48,26.67,51.90,-0.20,0.19,10.00,43.81,32.86,59.05,-0.20,0.19,10.00,45.71,32.86,60.00,-0.45,0.19,10.00,34.76,21.43,47.14,-0.50,0.20,9.00,33.33,20.00,45.24,-0.63,0.21,8.00,30.00,14.29,41.90,-0.70,0.21,8.00,25.94,15.57,39.62
Armenia,ARM,-0.28,0.34,3.00,44.02,22.28,62.50,-0.25,0.32,4.00,41.30,22.28,61.41,-0.17,0.31,5.00,44.02,24.46,64.13,0.06,0.24,6.00,57.30,41.08,64.32,0.17,0.20,6.00,58.92,50.27,65.95,0.11,0.20,7.00,57.21,47.26,64.68,0.09,0.16,9.00,55.88,50.00,60.29,0.29,0.18,11.00,58.82,53.92,66.67,0.27,0.18,11.00,59.22,51.94,67.48,0.30,0.17,11.00,60.68,53.40,66.99,0.27,0.16,11.00,60.77,53.11,68.42,0.27,0.15,11.00,60.29,53.11,66.99,0.25,0.15,11.00,59.24,52.61,66.82,0.33,0.16,12.00,62.09,54.03,71.09,0.24,0.17,12.00,59.72,52.13,67.30,0.16,0.20,11.00,56.25,48.08,67.79,0.19,0.20,11.00,60.00,48.10,67.14,0.21,0.20,9.00,62.38,49.05,68.57,0.23,0.22,8.00,62.86,48.10,71.43,0.35,0.21,8.00,64.29,52.86,74.29,0.24,0.21,8.00,61.43,49.05,71.90,0.24,0.23,7.00,59.52,45.24,72.38,0.13,0.24,6.00,57.14,43.33,68.57,-0.02,0.25,6.00,51.89,36.32,63.68
American Samoa,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.50,0.32,1.00,66.17,52.74,79.10,0.37,0.21,1.00,61.27,53.92,70.59,0.36,0.31,1.00,61.76,50.49,75.98,0.38,0.37,1.00,62.62,49.03,79.61,0.39,0.38,1.00,63.11,47.57,79.61,0.40,0.41,1.00,63.64,44.50,80.86,0.39,0.46,1.00,64.59,39.71,83.25,0.39,0.46,1.00,62.56,38.39,83.89,0.36,0.50,1.00,63.51,34.60,86.26,0.36,0.50,1.00,63.51,35.07,86.26,0.18,0.51,1.00,58.65,28.37,80.77,0.15,0.46,1.00,59.05,30.00,78.57,0.12,0.49,1.00,59.05,26.67,79.52,-0.27,0.47,1.00,41.43,12.38,70.48,-0.31,0.49,1.00,40.00,10.95,69.05,-0.33,0.49,1.00,40.95,10.00,67.62,0.53,0.52,1.00,70.48,39.52,90.00,0.53,0.49,1.00,70.48,43.33,86.67,0.55,0.47,1.00,70.75,43.40,88.21
Antigua and Barbuda,ATG,0.79,0.39,1.00,73.91,61.41,90.22,0.77,0.44,1.00,73.37,54.35,94.02,0.75,0.42,1.00,76.09,57.07,90.22,0.70,0.37,1.00,70.81,57.30,87.57,0.68,0.28,1.00,70.81,61.62,81.62,0.58,0.30,2.00,68.66,56.72,79.60,0.58,0.21,2.00,66.67,58.33,76.47,0.55,0.30,2.00,66.67,54.41,79.90,0.53,0.35,2.00,67.48,51.94,83.98,0.64,0.38,1.00,68.93,53.40,86.89,0.65,0.41,1.00,71.77,52.15,87.56,0.64,0.46,1.00,72.73,50.72,89.95,0.63,0.46,1.00,72.51,50.24,91.00,0.60,0.50,1.00,71.09,45.02,91.00,0.60,0.50,1.00,69.67,45.02,90.05,0.53,0.51,1.00,69.23,41.83,89.42,0.36,0.36,2.00,64.76,44.76,78.57,0.33,0.36,2.00,65.24,43.33,79.52,0.24,0.35,2.00,63.33,39.05,76.67,0.40,0.36,2.00,65.71,45.71,80.95,0.47,0.35,2.00,67.62,49.05,81.90,0.50,0.37,2.00,68.57,47.62,83.33,0.37,0.36,2.00,64.29,45.24,80.95,0.29,0.36,2.00,61.32,41.04,77.36
Australia,AUS,1.37,0.28,6.00,90.22,77.17,97.83,1.43,0.27,6.00,92.39,78.80,98.37,1.58,0.23,6.00,94.02,85.87,98.91,1.42,0.23,6.00,89.19,80.00,97.84,1.58,0.20,6.00,92.97,86.49,100.00,1.71,0.21,6.00,96.02,88.06,100.00,1.60,0.17,6.00,94.12,88.73,100.00,1.62,0.22,6.00,95.10,86.76,100.00,1.68,0.23,6.00,95.63,86.89,100.00,1.77,0.24,6.00,96.60,88.83,100.00,1.82,0.22,7.00,99.04,92.34,100.00,1.70,0.24,7.00,96.65,86.12,100.00,1.85,0.22,8.00,98.10,91.94,100.00,1.78,0.23,8.00,97.16,90.52,100.00,1.79,0.22,8.00,97.16,90.52,100.00,1.86,0.23,8.00,98.08,91.35,100.00,1.78,0.22,8.00,96.19,91.43,99.05,1.89,0.23,8.00,97.62,91.90,100.00,1.92,0.22,8.00,98.10,91.43,100.00,1.90,0.22,8.00,98.10,91.43,100.00,1.86,0.22,8.00,98.57,91.43,100.00,1.81,0.23,7.00,98.10,90.95,99.52,1.83,0.23,7.00,98.57,90.48,99.52,1.89,0.23,7.00,99.53,91.51,100.00
Austria,AUT,1.66,0.28,6.00,96.20,84.24,99.46,1.35,0.27,6.00,90.76,76.09,97.28,1.48,0.23,6.00,92.93,83.15,98.91,1.54,0.23,6.00,92.97,83.24,100.00,1.54,0.20,6.00,91.89,85.41,99.46,1.51,0.21,6.00,91.54,83.08,99.50,1.60,0.17,6.00,95.10,88.73,100.00,1.64,0.22,6.00,96.08,87.75,100.00,1.69,0.23,6.00,96.12,86.89,100.00,1.61,0.24,6.00,94.17,85.92,100.00,1.45,0.22,7.00,92.34,81.34,98.09,1.45,0.24,7.00,92.34,81.34,98.56,1.38,0.22,8.00,90.52,79.62,95.73,1.52,0.23,8.00,91.47,84.83,98.58,1.48,0.22,8.00,91.47,83.41,98.58,1.48,0.23,8.00,91.35,82.69,97.60,1.39,0.22,8.00,91.43,80.00,95.24,1.43,0.23,8.00,91.43,81.90,95.71,1.43,0.22,8.00,90.95,81.43,95.71,1.52,0.22,8.00,91.43,83.81,97.62,1.45,0.22,8.00,91.43,82.38,97.14,1.40,0.23,7.00,90.95,81.43,96.67,1.34,0.23,7.00,87.14,80.95,95.24,1.28,0.23,7.00,87.26,77.36,95.28
Azerbaijan,AZE,-1.20,0.31,4.00,11.41,3.80,23.91,-1.05,0.29,5.00,15.76,6.52,27.17,-0.86,0.27,6.00,18.48,10.33,33.70,-0.73,0.22,7.00,24.86,14.05,40.54,-0.60,0.18,7.00,30.27,18.92,45.41,-0.62,0.19,8.00,27.86,18.41,44.28,-0.58,0.16,11.00,29.90,22.06,43.63,-0.52,0.18,11.00,32.84,21.57,49.02,-0.47,0.18,11.00,34.47,22.33,50.00,-0.37,0.17,10.00,41.75,27.67,51.94,-0.32,0.16,11.00,41.63,30.14,52.15,-0.39,0.16,11.00,38.28,27.27,48.33,-0.39,0.17,10.00,37.44,27.96,50.71,-0.49,0.19,10.00,33.18,23.70,46.45,-0.43,0.19,10.00,36.49,24.64,47.87,-0.27,0.20,10.00,43.75,30.77,53.37,-0.37,0.20,10.00,40.00,27.14,51.43,-0.40,0.20,9.00,39.05,25.24,50.95,-0.37,0.22,8.00,38.10,26.19,52.38,-0.31,0.21,8.00,39.52,28.10,57.14,-0.22,0.21,8.00,44.29,30.48,60.48,-0.34,0.24,6.00,39.05,25.71,54.76,-0.07,0.24,6.00,50.48,35.24,63.33,-0.10,0.25,5.00,48.11,32.55,61.32
Burundi,BDI,-1.64,0.36,2.00,4.89,0.54,14.67,-1.58,0.39,2.00,6.52,0.00,16.85,-1.14,0.42,1.00,14.67,3.26,30.43,-1.21,0.30,2.00,11.89,2.70,25.41,-1.20,0.24,2.00,11.35,3.24,21.08,-1.19,0.21,4.00,10.95,5.47,19.90,-1.34,0.16,6.00,8.33,3.43,15.20,-1.19,0.17,8.00,11.27,5.39,19.61,-1.23,0.17,8.00,9.71,4.85,17.96,-1.24,0.16,8.00,8.74,3.40,17.48,-1.17,0.17,8.00,11.48,6.22,20.57,-1.12,0.16,8.00,12.92,6.22,20.10,-1.02,0.16,8.00,15.64,8.53,24.64,-0.95,0.18,9.00,18.96,9.00,27.96,-0.90,0.18,9.00,21.80,9.95,29.86,-0.73,0.18,9.00,26.44,15.38,36.06,-0.76,0.17,9.00,25.71,13.33,34.76,-0.85,0.18,9.00,20.48,10.48,30.48,-0.87,0.18,9.00,17.14,10.48,29.52,-1.01,0.18,9.00,12.38,8.57,25.24,-0.99,0.18,9.00,13.33,8.57,26.19,-1.06,0.19,8.00,11.90,8.10,25.24,-1.00,0.18,7.00,13.33,8.10,26.19,-0.95,0.19,7.00,17.45,8.96,28.77
Belgium,BEL,1.21,0.28,6.00,84.78,72.28,96.20,1.01,0.27,6.00,79.35,68.48,92.39,1.15,0.23,6.00,85.87,76.09,92.93,1.25,0.23,6.00,85.95,73.51,94.59,1.28,0.20,6.00,87.03,77.30,93.51,1.35,0.21,6.00,88.06,78.61,95.52,1.27,0.17,6.00,87.25,77.94,93.14,1.33,0.22,6.00,88.73,78.43,97.06,1.42,0.23,6.00,91.26,81.55,97.57,1.41,0.24,6.00,91.75,79.61,97.57,1.31,0.22,7.00,87.56,77.51,95.69,1.28,0.24,7.00,85.65,77.51,95.22,1.24,0.22,8.00,86.73,77.25,92.89,1.22,0.23,8.00,86.73,76.30,94.31,1.28,0.22,8.00,87.68,78.20,94.31,1.15,0.23,8.00,84.13,75.96,91.83,1.27,0.22,8.00,88.57,78.57,92.38,1.33,0.23,8.00,88.57,80.00,93.33,1.23,0.22,8.00,86.67,78.57,91.90,1.26,0.22,8.00,86.67,79.05,93.33,1.28,0.22,7.00,87.62,75.71,94.29,1.34,0.24,6.00,89.05,80.48,95.71,1.33,0.23,7.00,86.67,80.95,95.24,1.25,0.23,7.00,86.79,76.89,94.81
Benin,BEN,-0.18,0.36,2.00,47.83,23.37,64.67,-0.15,0.39,2.00,48.37,22.28,65.76,-0.16,0.37,2.00,45.11,21.74,65.22,-0.57,0.28,3.00,33.51,14.59,50.27,-0.62,0.23,3.00,27.57,17.84,48.11,-0.62,0.20,5.00,28.36,17.41,44.28,-0.64,0.16,7.00,25.98,20.59,42.16,-0.46,0.16,9.00,36.27,22.55,49.51,-0.51,0.16,9.00,32.52,22.33,48.06,-0.55,0.16,9.00,31.07,20.87,46.12,-0.40,0.16,9.00,37.80,26.32,49.76,-0.40,0.15,9.00,37.32,27.27,47.37,-0.40,0.16,9.00,36.97,27.96,49.76,-0.40,0.18,9.00,37.91,27.01,50.24,-0.42,0.18,9.00,37.44,25.59,47.39,-0.62,0.19,8.00,29.81,17.31,41.83,-0.62,0.17,9.00,29.52,18.10,41.90,-0.58,0.18,9.00,29.05,19.05,42.86,-0.52,0.18,9.00,31.43,20.48,43.33,-0.39,0.18,9.00,37.14,26.19,48.57,-0.45,0.18,9.00,35.24,24.29,46.19,-0.48,0.19,8.00,35.24,22.38,44.76,-0.45,0.17,9.00,36.19,24.76,46.19,-0.35,0.18,9.00,39.62,27.83,50.47
Burkina Faso,BFA,-0.30,0.35,3.00,42.39,21.20,62.50,-0.23,0.38,3.00,42.39,20.11,64.67,-0.16,0.36,3.00,46.74,21.74,65.22,-0.14,0.26,4.00,50.27,33.51,61.62,-0.36,0.21,4.00,42.70,24.32,55.14,-0.33,0.19,6.00,43.78,25.87,52.74,-0.46,0.16,7.00,37.25,24.51,49.02,-0.40,0.16,10.00,39.71,25.49,50.49,-0.31,0.16,10.00,43.69,29.13,51.94,-0.23,0.16,10.00,48.06,35.92,53.40,-0.14,0.15,10.00,49.76,37.80,55.02,-0.21,0.15,10.00,46.41,34.93,53.59,-0.21,0.15,10.00,46.45,34.12,54.03,-0.14,0.17,11.00,46.92,36.49,55.92,-0.20,0.17,11.00,45.97,34.60,54.50,-0.34,0.17,11.00,40.38,29.33,49.52,-0.42,0.16,10.00,37.62,27.14,48.10,-0.45,0.16,10.00,35.71,25.71,46.67,-0.48,0.17,10.00,33.33,23.81,43.33,-0.41,0.16,10.00,36.19,26.67,47.62,-0.42,0.16,11.00,36.19,27.14,46.19,-0.48,0.17,9.00,35.71,24.76,44.29,-0.48,0.16,9.00,35.24,24.76,45.71,-0.47,0.17,9.00,34.43,21.70,44.34
Bangladesh,BGD,-0.93,0.31,4.00,17.93,5.98,33.70,-1.05,0.33,4.00,15.22,5.98,28.80,-0.94,0.26,5.00,16.30,8.70,29.89,-1.06,0.22,6.00,14.59,5.95,25.95,-1.04,0.19,6.00,16.76,7.57,22.70,-1.18,0.20,7.00,12.44,5.97,19.90,-1.08,0.16,9.00,15.20,7.35,22.55,-1.01,0.19,10.00,17.16,8.33,23.53,-0.95,0.19,10.00,18.45,8.74,25.24,-0.91,0.17,10.00,18.93,9.71,28.16,-0.87,0.16,10.00,22.01,12.44,29.67,-0.86,0.16,10.00,20.57,12.92,30.62,-0.82,0.16,11.00,22.75,13.27,32.23,-0.96,0.17,11.00,18.48,9.00,27.49,-0.92,0.17,11.00,20.38,9.95,28.91,-0.96,0.19,11.00,16.83,8.17,28.37,-0.92,0.18,11.00,17.14,9.52,29.05,-0.81,0.19,11.00,21.90,10.95,31.90,-0.83,0.18,11.00,20.00,10.48,30.48,-0.85,0.18,11.00,17.62,9.52,30.48,-0.94,0.18,11.00,15.24,9.05,28.10,-0.91,0.20,10.00,15.24,10.48,30.95,-0.85,0.19,10.00,20.48,10.95,33.33,-0.93,0.19,10.00,17.92,9.43,29.25
Bulgaria,BGR,-0.18,0.30,5.00,47.28,24.46,63.04,0.19,0.29,5.00,59.24,38.59,70.65,0.20,0.24,7.00,60.33,41.85,69.02,0.53,0.21,8.00,67.57,60.54,73.51,0.67,0.18,8.00,68.65,63.78,77.30,0.71,0.19,8.00,71.64,64.18,79.10,0.66,0.16,8.00,69.61,61.76,76.47,0.62,0.18,10.00,69.61,60.29,76.96,0.64,0.19,10.00,70.87,61.65,78.16,0.73,0.19,10.00,73.30,64.08,81.07,0.69,0.18,10.00,73.21,63.64,78.95,0.68,0.18,10.00,73.68,63.64,79.43,0.55,0.17,11.00,69.19,59.72,75.83,0.57,0.18,11.00,69.19,60.19,76.78,0.55,0.18,11.00,67.77,60.66,76.78,0.59,0.19,11.00,70.19,62.02,79.33,0.58,0.19,11.00,70.48,62.86,77.14,0.70,0.19,10.00,74.29,66.19,81.43,0.66,0.20,9.00,73.33,65.71,80.00,0.61,0.20,9.00,72.38,62.86,79.52,0.53,0.20,9.00,70.48,60.95,75.71,0.46,0.21,8.00,65.71,57.14,74.76,0.43,0.21,8.00,66.67,56.67,73.33,0.32,0.21,8.00,61.79,51.42,72.64
