Argentina,ARG,0.11,0.37,4.00,51.06,28.72,71.28,-0.13,0.35,4.00,39.36,22.87,62.77,0.10,0.31,5.00,50.26,31.75,69.84,-0.78,0.29,6.00,22.75,14.29,32.80,-0.36,0.28,6.00,35.18,23.12,47.24,-0.61,0.28,7.00,26.21,16.02,39.81,-0.04,0.27,7.00,44.17,31.55,57.77,0.00,0.25,8.00,45.89,31.40,57.49,0.10,0.24,8.00,46.86,34.78,61.84,-0.09,0.24,8.00,40.87,29.33,55.29,-0.23,0.24,8.00,36.97,24.17,50.71,-0.08,0.24,8.00,42.65,28.91,54.50,0.16,0.24,9.00,52.13,39.34,63.51,0.10,0.22,9.00,49.29,37.91,61.61,0.07,0.23,9.00,48.34,36.49,61.14,-0.01,0.19,9.00,45.71,34.76,58.10,0.01,0.20,9.00,46.19,35.24,57.62,0.20,0.20,9.00,52.86,40.95,63.81,0.16,0.21,9.00,53.33,39.05,63.81,0.01,0.21,9.00,47.17,35.38,57.08,-0.10,0.22,8.00,43.87,27.83,56.60,-0.07,0.23,7.00,45.28,31.13,56.60,0.00,0.23,7.00,47.64,33.02,58.02,-0.01,0.23,7.00,46.70,31.60,56.60
Armenia,ARM,-0.36,0.47,2.00,34.04,13.30,60.11,-0.66,0.38,3.00,25.00,11.17,43.62,-0.68,0.40,3.00,25.93,11.11,42.86,-0.26,0.39,3.00,37.57,20.11,60.32,0.24,0.33,3.00,51.76,36.18,71.86,-0.12,0.32,4.00,40.78,25.24,60.19,-0.07,0.30,5.00,42.72,28.64,58.74,-0.26,0.27,6.00,38.16,25.12,51.69,0.15,0.26,6.00,47.83,34.78,66.18,-0.01,0.26,6.00,44.23,29.81,58.17,0.23,0.26,6.00,52.61,37.91,69.19,0.07,0.26,6.00,49.76,33.18,62.56,-0.06,0.25,6.00,44.08,30.33,58.77,0.15,0.23,7.00,51.18,39.34,63.03,0.11,0.23,7.00,50.24,36.49,63.03,-0.30,0.20,7.00,35.71,24.29,47.14,-0.26,0.20,7.00,37.14,25.71,50.00,-0.67,0.21,7.00,22.38,13.81,32.86,-0.63,0.22,7.00,25.24,13.81,35.24,-0.45,0.22,7.00,29.72,18.40,41.98,-0.42,0.23,6.00,30.19,18.87,45.75,-0.77,0.24,5.00,20.28,12.26,33.02,-0.80,0.24,5.00,18.87,11.32,31.13,-0.80,0.24,5.00,17.92,12.26,30.66
American Samoa,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.74,0.43,1.00,72.33,46.60,98.06,0.75,0.44,1.00,68.45,46.60,99.51,0.70,0.42,1.00,68.12,46.38,98.55,0.97,0.38,1.00,80.19,54.59,100.00,0.98,0.38,1.00,80.77,55.29,100.00,0.95,0.37,1.00,82.46,54.03,100.00,0.92,0.39,1.00,80.09,54.03,99.53,0.93,0.41,1.00,74.41,54.98,99.53,0.95,0.34,1.00,78.67,58.77,99.53,0.93,0.39,1.00,76.78,57.35,99.53,1.08,0.29,1.00,89.05,66.19,99.52,1.15,0.30,1.00,90.95,66.19,99.52,1.16,0.32,1.00,91.43,65.71,99.52,1.18,0.34,1.00,91.90,66.67,99.52,1.17,0.31,1.00,91.04,66.98,99.53,1.15,0.32,2.00,90.57,66.98,99.53,1.09,0.32,2.00,87.74,64.62,99.06,1.07,0.34,2.00,87.74,61.79,99.06,1.13,0.39,1.00,91.04,60.38,100.00
Antigua and Barbuda,ATG,0.72,0.61,1.00,70.74,37.23,100.00,0.73,0.58,1.00,72.34,35.64,100.00,0.71,0.60,1.00,72.49,35.45,98.94,0.79,0.52,1.00,73.02,45.50,99.47,0.87,0.35,2.00,74.87,54.27,96.98,1.08,0.33,3.00,84.47,63.11,100.00,0.83,0.33,3.00,73.79,55.34,96.12,0.80,0.33,3.00,71.98,53.62,96.14,0.80,0.31,3.00,75.85,53.62,96.62,0.81,0.31,3.00,75.00,55.29,96.15,0.72,0.32,3.00,71.56,51.18,92.89,0.90,0.32,3.00,79.15,57.82,97.16,0.96,0.31,3.00,79.62,62.09,98.10,0.98,0.28,3.00,80.57,63.03,98.58,0.96,0.30,3.00,79.62,62.56,98.10,0.98,0.24,3.00,81.43,65.71,97.14,0.99,0.24,4.00,83.33,64.76,97.62,0.86,0.25,4.00,75.71,61.43,93.33,0.73,0.25,4.00,70.95,58.57,88.57,0.82,0.25,4.00,73.11,60.85,91.98,0.94,0.27,4.00,79.72,60.85,96.23,0.93,0.27,4.00,79.72,61.32,96.23,0.95,0.27,4.00,82.55,61.32,96.70,0.94,0.27,4.00,82.55,62.26,96.70
Australia,AUS,1.40,0.37,4.00,96.28,72.87,100.00,1.07,0.35,4.00,82.98,63.30,100.00,1.33,0.31,5.00,93.12,75.13,100.00,1.19,0.29,6.00,89.42,70.37,99.47,0.88,0.28,6.00,75.88,59.30,96.48,0.94,0.28,7.00,78.64,62.14,97.57,0.89,0.27,7.00,76.21,60.68,95.15,0.93,0.26,7.00,78.74,60.87,98.55,0.93,0.26,7.00,78.74,61.84,98.55,0.95,0.26,7.00,80.29,63.46,99.04,0.86,0.24,8.00,76.78,61.61,92.89,0.89,0.24,8.00,78.20,62.56,93.84,0.94,0.24,9.00,74.88,63.51,96.21,1.00,0.22,9.00,82.46,67.30,96.21,1.03,0.23,9.00,83.41,66.82,98.10,1.03,0.19,9.00,85.24,69.52,97.14,0.87,0.20,9.00,76.19,62.38,91.90,1.03,0.20,9.00,87.62,70.00,95.71,0.88,0.20,10.00,77.62,64.76,91.90,0.97,0.20,10.00,83.49,65.57,93.87,0.92,0.21,9.00,78.30,66.04,93.40,0.86,0.21,8.00,74.53,63.68,92.92,0.84,0.21,8.00,75.47,59.91,92.92,0.93,0.22,8.00,81.60,65.57,95.28
Austria,AUT,1.41,0.37,4.00,96.81,72.87,100.00,1.11,0.35,4.00,85.64,65.43,100.00,0.82,0.31,5.00,76.19,58.73,93.12,1.36,0.29,6.00,94.71,76.72,100.00,0.96,0.28,6.00,80.40,63.32,96.98,1.09,0.28,7.00,84.95,66.99,99.51,1.10,0.27,7.00,86.41,66.02,99.51,1.07,0.26,7.00,86.47,65.22,100.00,1.28,0.26,7.00,96.14,77.29,100.00,1.34,0.26,7.00,98.56,78.37,100.00,1.19,0.24,8.00,91.00,73.46,100.00,1.15,0.24,8.00,89.10,71.56,99.53,1.19,0.24,9.00,91.47,70.62,99.53,1.34,0.22,9.00,96.21,81.52,99.53,1.36,0.23,9.00,96.21,81.99,99.53,1.27,0.19,9.00,95.24,78.57,99.52,1.13,0.20,9.00,90.00,71.90,98.57,0.89,0.20,9.00,77.14,64.76,92.38,1.03,0.21,9.00,85.24,70.48,96.19,0.88,0.21,9.00,77.36,64.15,91.51,0.89,0.22,8.00,77.36,61.79,93.40,0.89,0.23,7.00,76.89,63.21,94.34,0.90,0.23,7.00,79.25,62.26,94.34,0.64,0.23,7.00,68.87,53.30,83.96
Azerbaijan,AZE,-0.83,0.41,3.00,21.28,8.51,42.02,-0.70,0.35,4.00,22.87,11.17,38.83,-0.83,0.34,4.00,20.11,10.58,35.45,-1.19,0.32,4.00,17.46,5.29,26.46,-0.95,0.30,4.00,21.11,9.55,30.15,-1.06,0.29,5.00,16.99,6.80,26.21,-1.12,0.28,6.00,16.99,6.31,25.73,-1.09,0.27,6.00,16.43,8.21,26.09,-0.63,0.26,6.00,25.60,16.43,37.68,-0.33,0.26,6.00,32.69,19.71,48.08,-0.28,0.25,7.00,35.55,22.27,48.82,-0.24,0.24,7.00,36.49,25.59,51.66,-0.53,0.24,7.00,29.86,19.43,41.23,-0.72,0.23,7.00,23.22,15.64,36.97,-0.41,0.23,7.00,33.65,20.38,45.50,-0.56,0.20,7.00,26.19,16.67,36.67,-0.73,0.20,7.00,21.90,12.38,32.38,-0.81,0.21,7.00,18.10,10.95,28.10,-0.75,0.22,7.00,19.52,11.90,30.00,-0.71,0.22,7.00,20.75,12.74,33.49,-0.69,0.23,6.00,22.64,12.74,33.96,-0.85,0.24,5.00,17.45,11.32,27.83,-0.84,0.24,5.00,18.40,11.32,29.72,-0.93,0.24,5.00,15.57,10.85,25.47
Burundi,BDI,-2.12,0.47,2.00,3.19,0.00,9.04,-2.30,0.44,2.00,1.60,0.00,7.98,-2.01,0.45,2.00,2.12,0.00,12.17,-2.28,0.44,2.00,0.53,0.00,9.52,-2.24,0.35,2.00,1.51,0.00,5.53,-2.52,0.33,3.00,0.97,0.00,3.88,-1.52,0.33,3.00,7.28,1.94,18.45,-1.43,0.28,5.00,9.18,4.35,17.87,-1.38,0.28,5.00,9.66,6.28,17.87,-1.64,0.28,5.00,9.13,2.40,13.46,-1.27,0.28,5.00,12.80,5.21,19.91,-1.63,0.27,5.00,6.64,3.32,12.32,-1.81,0.27,5.00,4.74,1.90,9.95,-1.70,0.24,6.00,5.69,2.37,10.43,-1.35,0.24,6.00,8.53,5.21,18.01,-0.78,0.21,6.00,20.48,10.48,29.52,-1.94,0.21,6.00,5.71,2.38,7.62,-1.96,0.22,6.00,5.71,2.86,8.57,-2.00,0.23,6.00,4.29,1.90,8.10,-1.57,0.23,6.00,7.55,5.19,11.32,-1.62,0.24,5.00,7.08,4.25,11.79,-1.54,0.25,4.00,8.96,4.25,12.74,-1.26,0.25,4.00,11.32,6.60,17.92,-1.19,0.25,4.00,12.74,8.02,18.87
Belgium,BEL,1.29,0.37,4.00,92.02,68.09,100.00,1.02,0.35,4.00,81.91,63.30,99.47,1.13,0.31,5.00,83.60,69.84,98.94,1.26,0.29,6.00,91.53,71.43,99.47,0.86,0.28,6.00,74.37,59.30,95.98,0.71,0.28,7.00,71.84,53.88,90.78,0.79,0.27,7.00,70.39,55.83,91.26,0.86,0.26,7.00,73.91,58.94,95.17,0.76,0.26,7.00,72.46,54.59,92.75,0.62,0.26,7.00,67.79,50.96,85.10,0.82,0.24,8.00,75.36,60.66,91.47,0.81,0.24,8.00,74.41,60.19,90.52,0.95,0.24,9.00,78.20,63.51,97.16,0.92,0.22,9.00,76.30,63.51,93.36,0.94,0.23,9.00,77.73,64.93,94.31,0.70,0.19,9.00,69.52,59.05,84.29,0.58,0.20,9.00,64.29,56.67,77.62,0.43,0.20,9.00,61.43,49.05,71.90,0.42,0.21,9.00,62.38,49.05,71.43,0.39,0.21,9.00,59.43,49.53,69.81,0.46,0.22,8.00,60.85,51.42,75.47,0.52,0.23,7.00,64.15,51.89,77.36,0.66,0.23,7.00,67.45,55.19,85.38,0.58,0.23,7.00,65.57,51.89,82.55
Benin,BEN,1.05,0.47,2.00,84.57,56.91,100.00,0.74,0.44,2.00,72.87,45.21,98.40,0.80,0.45,2.00,74.60,47.62,96.30,0.82,0.44,2.00,73.54,48.15,96.83,0.68,0.35,2.00,69.35,47.24,94.97,0.27,0.33,3.00,54.37,35.92,74.27,0.45,0.32,4.00,61.17,42.23,78.64,0.55,0.26,6.00,63.29,49.28,80.19,0.39,0.25,6.00,57.97,41.55,75.85,0.38,0.26,6.00,56.73,42.31,73.08,0.40,0.26,6.00,60.19,43.13,75.83,0.26,0.25,6.00,53.55,40.28,67.77,0.32,0.25,6.00,57.35,41.23,69.19,0.36,0.24,6.00,58.29,43.13,70.14,0.30,0.24,6.00,58.29,42.65,67.77,0.03,0.21,5.00,47.14,34.29,59.05,-0.02,0.21,6.00,44.76,33.33,57.62,-0.01,0.22,6.00,47.14,32.38,58.10,0.03,0.23,6.00,47.62,32.38,61.43,-0.15,0.23,6.00,40.57,28.77,53.30,-0.42,0.24,5.00,29.72,18.40,45.75,-0.44,0.25,4.00,31.60,17.45,47.17,-0.40,0.24,5.00,32.08,18.87,47.64,-0.35,0.24,5.00,33.02,18.87,48.11
Burkina Faso,BFA,-0.30,0.42,3.00,37.23,18.09,60.11,-0.11,0.38,3.00,40.96,21.28,64.36,0.06,0.40,3.00,48.68,26.98,70.90,-0.31,0.39,3.00,33.33,20.11,57.14,0.07,0.33,3.00,45.73,29.65,65.83,-0.08,0.32,4.00,42.23,26.21,61.65,-0.06,0.31,4.00,43.20,28.16,60.19,0.16,0.25,7.00,50.72,38.16,63.77,0.31,0.24,7.00,54.59,39.61,70.53,0.12,0.25,7.00,49.04,35.10,62.50,0.03,0.25,7.00,45.97,31.28,61.14,-0.12,0.24,7.00,41.23,27.01,54.03,-0.56,0.24,7.00,28.91,18.48,40.76,-0.57,0.22,8.00,27.01,18.48,39.34,-0.76,0.23,8.00,21.80,14.22,35.07,-0.79,0.20,8.00,20.00,10.95,29.05,-0.61,0.20,7.00,25.24,17.14,35.71,-0.87,0.21,7.00,16.67,10.95,25.24,-0.93,0.22,7.00,15.24,9.52,25.71,-1.06,0.22,7.00,13.21,8.02,20.75,-1.30,0.23,7.00,11.79,6.13,16.04,-1.54,0.23,6.00,9.43,4.25,12.26,-1.64,0.23,6.00,7.55,4.72,11.32,-1.78,0.23,6.00,8.02,3.77,10.38
Bangladesh,BGD,-0.55,0.37,4.00,26.60,12.23,49.47,-0.37,0.35,4.00,33.51,18.09,52.66,-0.73,0.34,4.00,24.87,12.17,40.21,-1.03,0.30,5.00,19.05,10.05,28.04,-1.12,0.29,5.00,16.58,6.03,27.64,-1.36,0.29,6.00,10.19,4.37,18.93,-1.86,0.28,6.00,4.37,0.49,10.19,-1.51,0.25,7.00,8.70,2.90,16.43,-1.54,0.24,7.00,9.18,3.86,14.01,-1.51,0.25,7.00,9.62,4.33,14.42,-1.55,0.25,7.00,9.00,4.27,14.69,-1.43,0.24,7.00,9.95,4.27,15.64,-1.40,0.24,8.00,9.00,4.74,16.59,-1.38,0.22,8.00,9.00,5.21,17.54,-1.63,0.23,8.00,7.58,4.27,10.43,-0.90,0.20,8.00,16.67,9.05,25.71,-1.21,0.20,8.00,10.00,7.62,18.57,-1.26,0.21,8.00,10.95,8.57,15.24,-1.25,0.21,8.00,10.48,8.57,16.19,-0.99,0.21,8.00,14.15,9.91,24.06,-0.93,0.23,7.00,15.57,10.85,25.47,-0.92,0.23,6.00,15.57,10.38,25.94,-1.04,0.22,7.00,14.15,9.91,23.11,-1.09,0.22,7.00,13.21,9.91,19.34
Bulgaria,BGR,-0.09,0.37,4.00,44.68,22.87,62.23,0.58,0.35,4.00,66.49,45.21,88.83,0.38,0.34,4.00,61.90,39.15,79.89,0.47,0.30,5.00,64.02,46.03,82.54,0.17,0.29,5.00,49.75,36.18,68.34,0.00,0.29,6.00,45.15,29.61,62.14,0.15,0.28,6.00,51.46,36.41,65.05,0.39,0.25,8.00,57.49,45.41,71.50,0.36,0.24,8.00,56.04,41.55,71.98,0.37,0.24,8.00,56.25,43.75,71.63,0.35,0.24,8.00,55.92,42.18,72.04,0.36,0.24,8.00,57.82,44.55,71.56,0.30,0.24,9.00,55.92,41.71,68.72,0.38,0.22,9.00,58.77,45.50,69.67,0.17,0.23,9.00,53.08,38.86,64.45,0.08,0.19,9.00,49.52,36.67,59.05,0.01,0.20,9.00,46.67,35.24,57.62,0.07,0.20,9.00,49.05,36.19,59.52,0.32,0.21,9.00,59.05,45.71,69.05,0.44,0.21,9.00,61.79,52.36,71.23,0.56,0.22,8.00,66.04,54.72,78.30,0.40,0.23,7.00,58.49,48.11,72.17,0.36,0.23,7.00,58.02,46.70,69.81,0.25,0.23,7.00,52.36,41.98,67.45
