Argentina,ARG,-0.10,0.21,6.00,53.76,38.71,62.90,-0.20,0.19,6.00,50.27,36.90,58.29,-0.17,0.20,6.00,52.13,38.83,60.64,-0.42,0.18,7.00,41.80,31.75,51.85,-0.48,0.17,8.00,40.21,25.93,50.79,-0.41,0.16,10.00,39.90,29.56,50.74,-0.38,0.16,10.00,43.41,31.22,53.17,-0.33,0.15,13.00,43.41,34.63,55.12,-0.37,0.15,13.00,44.17,31.55,53.40,-0.43,0.15,13.00,39.81,28.64,52.91,-0.45,0.15,15.00,40.19,26.79,52.15,-0.36,0.16,15.00,44.76,31.90,54.29,-0.36,0.15,16.00,43.60,33.18,54.50,-0.45,0.14,16.00,40.28,28.91,51.66,-0.43,0.14,15.00,40.76,28.91,52.13,-0.55,0.13,14.00,35.58,24.52,46.15,-0.58,0.14,14.00,33.81,23.33,44.29,-0.30,0.14,14.00,45.71,35.24,54.76,-0.31,0.12,14.00,44.29,38.10,53.33,-0.10,0.13,14.00,53.81,43.81,58.10,-0.11,0.13,14.00,52.86,42.86,58.57,-0.16,0.14,13.00,47.62,39.05,58.57,-0.42,0.16,12.00,38.10,27.62,49.52,-0.45,0.16,11.00,36.32,24.53,48.11
Armenia,ARM,-0.47,0.34,2.00,38.17,15.05,59.14,-0.94,0.23,4.00,21.93,2.67,35.83,-0.85,0.23,5.00,25.00,5.32,41.49,-0.78,0.22,5.00,28.04,8.47,41.27,-0.65,0.20,6.00,31.75,15.34,44.97,-0.70,0.19,7.00,28.57,15.27,41.87,-0.68,0.16,9.00,29.76,18.05,41.95,-0.67,0.15,13.00,29.76,19.51,39.51,-0.75,0.15,13.00,26.21,17.96,36.89,-0.71,0.14,14.00,28.16,17.96,37.86,-0.62,0.14,14.00,30.14,21.05,42.58,-0.70,0.14,14.00,27.62,18.57,38.57,-0.66,0.14,14.00,27.49,19.43,40.76,-0.59,0.13,15.00,33.18,22.75,44.55,-0.53,0.14,14.00,36.02,23.22,46.92,-0.57,0.14,13.00,35.10,23.56,46.15,-0.61,0.14,13.00,31.43,21.90,42.86,-0.66,0.15,11.00,30.95,17.14,41.43,-0.64,0.13,11.00,30.00,19.05,42.38,-0.41,0.14,11.00,40.00,29.05,49.52,-0.23,0.15,11.00,48.10,34.76,57.14,0.00,0.16,9.00,56.19,45.24,61.43,0.05,0.18,8.00,57.62,48.10,62.86,0.03,0.18,8.00,56.13,47.17,63.21
American Samoa,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.79,0.39,1.00,76.85,58.62,91.63,0.79,0.34,1.00,77.56,60.98,89.27,0.30,0.42,1.00,64.88,40.49,79.51,0.31,0.42,1.00,66.02,43.69,79.13,0.32,0.40,1.00,65.53,43.20,80.10,0.35,0.43,1.00,68.42,44.50,80.38,0.33,0.43,1.00,67.62,42.86,80.95,0.31,0.42,1.00,66.82,43.13,79.62,0.30,0.43,1.00,65.88,42.65,80.09,0.30,0.44,1.00,65.88,41.71,80.57,1.22,0.43,1.00,87.02,69.23,95.19,1.15,0.42,1.00,85.71,65.71,94.29,1.16,0.42,1.00,87.14,65.71,93.81,1.76,0.40,1.00,93.81,81.90,100.00,1.78,0.40,1.00,93.33,82.86,100.00,1.78,0.41,1.00,94.29,82.86,100.00,1.27,0.38,1.00,88.57,73.81,95.24,1.28,0.43,1.00,88.57,70.00,96.67,1.27,0.46,1.00,88.68,68.40,97.17
Antigua and Barbuda,ATG,0.87,0.48,1.00,80.11,59.14,91.40,0.88,0.45,1.00,80.75,59.89,91.98,0.86,0.46,1.00,81.38,59.57,92.02,0.85,0.43,1.00,80.42,60.32,91.01,0.85,0.40,1.00,79.37,61.38,91.01,0.84,0.37,2.00,78.82,61.08,91.63,0.74,0.33,2.00,73.66,59.51,88.29,1.12,0.39,2.00,83.41,71.22,92.20,1.15,0.39,2.00,84.47,71.84,93.20,1.28,0.40,1.00,87.38,73.30,94.66,1.32,0.43,1.00,87.56,72.73,95.22,1.30,0.43,1.00,88.10,71.90,94.76,1.27,0.42,1.00,87.20,71.56,94.79,1.26,0.43,1.00,87.20,71.09,95.26,1.25,0.44,1.00,86.73,69.67,95.73,0.63,0.43,1.00,72.12,54.81,88.94,0.64,0.27,2.00,72.38,60.48,81.43,0.65,0.27,2.00,71.90,61.43,80.95,0.20,0.27,2.00,60.95,47.14,71.43,0.24,0.26,2.00,61.90,48.57,73.81,0.24,0.26,2.00,61.90,49.05,73.81,0.24,0.25,2.00,60.95,46.19,73.81,0.23,0.27,2.00,60.95,48.10,74.76,0.31,0.28,2.00,63.21,50.00,78.30
Australia,AUS,1.88,0.21,6.00,93.55,90.32,99.46,1.80,0.19,6.00,92.51,90.37,97.33,1.86,0.20,6.00,93.62,90.96,97.87,1.76,0.16,7.00,92.06,91.01,95.24,1.90,0.16,7.00,93.65,91.01,97.35,2.01,0.16,7.00,96.55,91.63,98.03,1.94,0.15,7.00,95.61,92.68,98.05,1.95,0.16,8.00,95.12,91.71,98.54,2.00,0.17,8.00,95.63,91.75,98.54,2.03,0.17,8.00,96.12,93.20,98.54,2.04,0.15,9.00,96.17,93.78,99.04,2.02,0.15,10.00,95.24,93.33,99.05,2.04,0.15,11.00,96.21,93.36,99.53,1.98,0.14,11.00,95.73,93.36,97.63,1.78,0.14,11.00,93.84,90.52,95.73,1.85,0.13,11.00,95.19,91.83,95.67,1.84,0.13,11.00,94.76,91.90,97.14,1.77,0.14,11.00,93.33,91.90,96.67,1.75,0.13,11.00,92.86,91.43,96.67,1.77,0.14,11.00,92.38,90.48,96.67,1.79,0.15,11.00,94.76,90.95,96.67,1.63,0.15,9.00,93.81,89.05,95.24,1.71,0.16,9.00,94.76,89.05,96.67,1.76,0.16,9.00,95.28,89.62,97.17
Austria,AUT,1.73,0.21,6.00,92.47,89.25,96.24,1.80,0.19,6.00,93.05,90.37,97.33,1.75,0.20,6.00,92.55,89.89,95.74,1.92,0.18,6.00,93.65,91.01,97.88,1.96,0.18,6.00,94.71,91.53,98.41,2.03,0.17,7.00,97.04,91.63,98.52,1.91,0.17,7.00,95.12,92.20,98.05,1.90,0.18,8.00,94.63,91.71,98.54,2.00,0.19,8.00,96.12,91.75,98.54,1.83,0.18,8.00,93.69,91.75,97.09,1.69,0.17,9.00,92.82,89.95,94.74,1.60,0.15,10.00,91.90,88.10,93.81,1.47,0.15,11.00,89.57,84.36,92.42,1.43,0.14,11.00,89.57,83.41,92.42,1.54,0.14,11.00,90.52,88.15,93.36,1.47,0.13,10.00,90.87,87.02,91.83,1.47,0.13,10.00,90.48,88.57,92.38,1.50,0.14,10.00,90.95,89.05,92.38,1.50,0.13,10.00,90.48,88.10,91.90,1.57,0.14,10.00,90.95,88.10,93.81,1.52,0.14,10.00,90.48,88.57,93.33,1.48,0.15,10.00,90.95,85.24,94.76,1.24,0.16,10.00,85.71,80.95,90.48,1.26,0.16,10.00,84.91,81.13,90.09
Azerbaijan,AZE,-1.45,0.28,3.00,2.69,0.00,17.20,-1.29,0.19,5.00,3.74,0.00,19.79,-1.29,0.20,6.00,4.26,0.00,18.09,-1.20,0.17,6.00,6.35,0.53,22.75,-1.05,0.18,7.00,10.58,4.76,26.46,-1.18,0.17,8.00,10.34,1.97,19.70,-1.05,0.14,11.00,15.61,7.80,22.44,-1.10,0.15,13.00,12.68,5.37,20.49,-1.13,0.15,13.00,11.17,3.88,19.42,-1.16,0.14,13.00,10.68,3.40,17.96,-1.19,0.14,14.00,9.09,1.44,18.18,-1.25,0.13,14.00,6.67,0.95,16.19,-1.20,0.14,13.00,9.48,2.37,17.54,-1.14,0.14,13.00,11.85,1.90,18.96,-0.97,0.14,12.00,16.59,9.95,26.07,-1.02,0.14,11.00,14.90,8.17,24.04,-0.95,0.14,11.00,16.67,10.48,26.19,-0.85,0.15,11.00,19.52,12.38,31.90,-0.91,0.13,11.00,17.62,11.90,27.14,-0.85,0.14,11.00,21.43,12.86,29.52,-0.85,0.15,11.00,22.86,12.38,30.95,-1.08,0.16,7.00,15.24,7.62,23.81,-0.85,0.18,7.00,21.43,12.86,33.33,-1.04,0.19,6.00,16.98,7.08,24.53
Burundi,BDI,-0.68,0.34,2.00,30.65,6.99,52.69,-0.68,0.32,2.00,32.62,5.35,50.80,-0.82,0.35,2.00,26.06,0.53,46.81,-0.76,0.35,2.00,29.10,2.65,50.26,-0.87,0.27,3.00,21.69,5.29,41.27,-0.98,0.23,5.00,16.75,5.91,31.03,-0.96,0.22,6.00,18.05,6.34,33.66,-1.10,0.18,9.00,12.20,3.41,22.44,-1.17,0.18,10.00,9.22,1.46,19.42,-1.09,0.18,10.00,13.11,3.40,22.33,-1.13,0.18,10.00,11.48,1.44,21.05,-1.17,0.18,10.00,11.43,0.95,20.95,-1.21,0.17,11.00,8.53,0.95,18.96,-1.47,0.17,12.00,0.95,0.00,10.43,-1.43,0.17,13.00,1.90,0.00,11.37,-1.27,0.17,12.00,8.17,1.92,15.38,-1.29,0.16,12.00,8.10,1.90,14.29,-1.28,0.17,12.00,10.00,3.33,13.33,-1.32,0.16,11.00,8.57,1.90,13.81,-1.48,0.16,10.00,5.24,0.48,10.48,-1.50,0.16,10.00,4.76,0.00,10.48,-1.56,0.17,9.00,3.81,0.00,9.52,-1.60,0.19,8.00,2.86,0.00,7.62,-1.52,0.19,8.00,4.25,0.00,11.32
Belgium,BEL,1.36,0.21,6.00,88.71,81.18,91.40,1.31,0.19,6.00,87.17,81.28,91.98,1.45,0.20,6.00,90.43,83.51,92.55,1.46,0.18,6.00,89.95,83.60,91.53,1.38,0.18,6.00,89.42,80.95,91.53,1.36,0.18,6.00,90.15,83.74,91.63,1.38,0.17,6.00,90.24,82.44,92.68,1.30,0.18,7.00,88.78,79.51,91.71,1.35,0.19,7.00,90.29,81.55,91.75,1.36,0.19,7.00,90.78,81.07,91.75,1.45,0.17,8.00,90.91,83.73,92.82,1.47,0.16,9.00,90.00,84.29,92.86,1.52,0.15,10.00,90.52,87.20,93.36,1.56,0.14,11.00,91.47,87.68,93.36,1.60,0.14,11.00,91.00,89.10,94.31,1.51,0.13,11.00,91.35,87.50,92.79,1.47,0.13,11.00,90.95,88.57,92.38,1.53,0.14,11.00,91.90,89.05,92.86,1.40,0.12,11.00,89.52,86.19,91.90,1.43,0.13,11.00,89.52,87.14,91.90,1.45,0.15,10.00,89.52,88.10,92.38,1.45,0.15,9.00,90.00,84.29,94.76,1.46,0.16,10.00,89.52,84.29,94.76,1.50,0.16,10.00,89.62,83.96,94.81
Benin,BEN,-0.55,0.34,2.00,34.95,13.44,57.53,-0.65,0.32,2.00,33.69,6.95,52.41,-0.70,0.35,2.00,31.38,4.79,52.66,-0.80,0.35,2.00,26.98,2.12,49.74,-0.58,0.27,3.00,35.98,11.64,53.97,-0.56,0.23,5.00,33.99,18.23,50.25,-0.87,0.19,8.00,20.49,11.22,35.12,-0.59,0.15,12.00,34.15,20.98,42.93,-0.47,0.16,12.00,37.86,27.67,51.46,-0.51,0.16,12.00,36.89,24.27,49.51,-0.63,0.16,11.00,29.67,20.10,44.50,-0.67,0.16,11.00,29.52,18.10,42.86,-0.61,0.16,11.00,33.18,20.38,45.50,-0.86,0.17,11.00,20.38,11.85,33.18,-0.75,0.17,12.00,24.64,15.17,39.34,-0.67,0.18,11.00,29.81,15.38,43.27,-0.56,0.16,13.00,34.29,22.38,47.62,-0.53,0.17,13.00,35.24,22.86,47.62,-0.58,0.16,13.00,33.81,19.52,43.81,-0.39,0.15,13.00,41.43,29.05,50.95,-0.33,0.16,13.00,41.90,30.95,52.86,-0.04,0.16,12.00,54.76,44.29,60.00,-0.17,0.16,12.00,49.05,37.14,58.10,-0.12,0.16,12.00,50.47,40.09,58.96
Burkina Faso,BFA,0.11,0.32,3.00,60.22,41.40,73.12,0.10,0.31,3.00,57.75,41.71,72.19,0.12,0.33,3.00,60.11,42.02,72.87,0.12,0.31,3.00,59.79,42.86,74.60,-0.11,0.25,4.00,55.03,38.10,66.67,-0.15,0.22,7.00,51.23,34.98,60.10,-0.11,0.21,8.00,53.66,40.98,60.98,-0.31,0.15,12.00,44.88,35.12,55.12,-0.33,0.16,12.00,47.57,33.50,54.85,-0.31,0.15,13.00,46.12,33.98,55.83,-0.35,0.16,13.00,44.98,32.06,55.50,-0.36,0.15,13.00,44.29,31.90,54.29,-0.38,0.15,14.00,43.13,30.33,54.50,-0.48,0.14,15.00,38.39,27.49,48.82,-0.53,0.13,15.00,36.49,24.17,46.92,-0.47,0.13,14.00,38.94,28.37,50.00,-0.30,0.14,14.00,47.62,36.19,54.29,-0.17,0.14,14.00,52.38,41.43,58.10,-0.14,0.13,14.00,51.90,43.33,57.14,-0.13,0.13,14.00,52.86,42.86,58.10,-0.22,0.13,15.00,48.57,37.62,55.71,-0.12,0.14,13.00,50.48,41.90,58.57,-0.08,0.15,12.00,50.48,43.81,59.05,-0.08,0.15,12.00,51.89,43.40,59.91
Bangladesh,BGD,-0.97,0.26,4.00,17.74,2.69,34.95,-0.77,0.23,4.00,28.88,10.70,42.25,-1.21,0.22,5.00,6.91,0.00,24.47,-1.45,0.20,5.00,1.59,0.00,8.47,-1.54,0.19,6.00,0.53,0.00,5.82,-1.60,0.18,8.00,0.99,0.00,7.39,-1.41,0.17,10.00,2.93,0.00,13.17,-1.44,0.16,12.00,2.93,0.00,9.27,-1.06,0.16,13.00,13.59,4.85,21.84,-1.05,0.16,13.00,15.05,4.37,22.82,-1.08,0.16,13.00,14.83,3.35,22.01,-1.05,0.16,14.00,14.76,3.81,21.90,-1.10,0.15,15.00,13.74,3.79,20.85,-0.86,0.14,15.00,20.85,12.80,31.28,-0.89,0.14,14.00,21.33,11.85,28.91,-0.89,0.14,13.00,18.75,12.50,29.81,-0.84,0.14,13.00,21.90,13.33,30.95,-0.89,0.14,12.00,18.57,11.90,30.95,-0.86,0.13,12.00,18.57,13.33,29.52,-0.93,0.13,12.00,17.14,11.43,26.67,-1.02,0.14,12.00,16.19,10.00,24.76,-1.00,0.14,12.00,17.14,10.48,24.76,-0.99,0.15,12.00,18.10,10.95,26.19,-1.08,0.15,12.00,15.57,7.08,21.70
Bulgaria,BGR,-0.36,0.26,4.00,44.62,25.27,59.14,-0.18,0.19,5.00,50.80,37.97,59.36,-0.18,0.18,7.00,51.06,40.43,59.57,-0.17,0.16,7.00,51.32,40.21,58.73,-0.09,0.16,8.00,56.61,44.97,60.32,0.07,0.16,9.00,57.14,50.25,65.02,0.02,0.15,9.00,56.59,49.27,62.44,-0.11,0.13,13.00,53.66,43.41,59.02,-0.23,0.14,13.00,50.97,37.86,56.80,-0.27,0.13,13.00,48.54,37.86,55.83,-0.23,0.13,13.00,50.72,39.23,58.37,-0.24,0.12,14.00,51.90,40.00,56.19,-0.27,0.12,15.00,50.24,39.34,55.45,-0.28,0.12,15.00,48.82,38.86,55.45,-0.33,0.12,14.00,45.97,36.02,54.50,-0.30,0.12,14.00,47.60,36.06,54.33,-0.35,0.12,14.00,45.24,36.19,52.38,-0.26,0.12,13.00,47.62,38.10,54.76,-0.20,0.11,13.00,49.52,42.86,55.24,-0.19,0.12,13.00,49.05,41.43,56.67,-0.18,0.13,13.00,49.52,40.48,57.62,-0.32,0.14,12.00,44.29,32.38,51.43,-0.26,0.15,12.00,48.10,34.29,54.29,-0.16,0.14,12.00,50.00,39.62,58.02
